Date (GMT),"Page Reactions by Type - Wow (Daily aggregated values for Facebook pages: Eyewatch - Hume Police Service Area, Eyewatch - Greater Shepparton Police Service Area, Eyewatch - Swan Hill Police Service Area, Eyewatch - Kingston Police Service Area, Eyewatch - Greater Dandenong Police Service Area, Eyewatch - Warrnambool Police Service Area, Eyewatch - Glen Eira Police Service Area, Eyewatch - Whitehorse Police Service Area, Eyewatch - Knox Police Service Area, Eyewatch - Wyndham Police Service Area, Eyewatch - Northern Grampians Police Service Area, Eyewatch - Moorabool Police Service Area, Eyewatch – Bass Coast Police Service Area, Eyewatch - Melton Police Service Area, Eyewatch - Southern Grampians Police Service Area)","Page Reactions by Type - Love (Daily aggregated values for Facebook pages: Eyewatch - Hume Police Service Area, Eyewatch - Greater Shepparton Police Service Area, Eyewatch - Swan Hill Police Service Area, Eyewatch - Kingston Police Service Area, Eyewatch - Greater Dandenong Police Service Area, Eyewatch - Warrnambool Police Service Area, Eyewatch - Glen Eira Police Service Area, Eyewatch - Whitehorse Police Service Area, Eyewatch - Knox Police Service Area, Eyewatch - Wyndham Police Service Area, Eyewatch - Northern Grampians Police Service Area, Eyewatch - Moorabool Police Service Area, Eyewatch – Bass Coast Police Service Area, Eyewatch - Melton Police Service Area, Eyewatch - Southern Grampians Police Service Area)","Page Reactions by Type - Like (Daily aggregated values for Facebook pages: Eyewatch - Hume Police Service Area, Eyewatch - Greater Shepparton Police Service Area, Eyewatch - Swan Hill Police Service Area, Eyewatch - Kingston Police Service Area, Eyewatch - Greater Dandenong Police Service Area, Eyewatch - Warrnambool Police Service Area, Eyewatch - Glen Eira Police Service Area, Eyewatch - Whitehorse Police Service Area, Eyewatch - Knox Police Service Area, Eyewatch - Wyndham Police Service Area, Eyewatch - Northern Grampians Police Service Area, Eyewatch - Moorabool Police Service Area, Eyewatch – Bass Coast Police Service Area, Eyewatch - Melton Police Service Area, Eyewatch - Southern Grampians Police Service Area)","Page Reactions by Type - Other (Daily aggregated values for Facebook pages: Eyewatch - Hume Police Service Area, Eyewatch - Greater Shepparton Police Service Area, Eyewatch - Swan Hill Police Service Area, Eyewatch - Kingston Police Service Area, Eyewatch - Greater Dandenong Police Service Area, Eyewatch - Warrnambool Police Service Area, Eyewatch - Glen Eira Police Service Area, Eyewatch - Whitehorse Police Service Area, Eyewatch - Knox Police Service Area, Eyewatch - Wyndham Police Service Area, Eyewatch - Northern Grampians Police Service Area, Eyewatch - Moorabool Police Service Area, Eyewatch – Bass Coast Police Service Area, Eyewatch - Melton Police Service Area, Eyewatch - Southern Grampians Police Service Area)"
2018-07-01,82.0,31.0,514.0,46.0
2018-07-02,23.0,16.0,638.0,56.0
2018-07-03,53.0,17.0,464.0,71.0
2018-07-04,45.0,9.0,594.0,87.0
2018-07-05,15.0,13.0,465.0,69.0
2018-07-06,20.0,4.0,334.0,56.0
2018-07-07,7.0,2.0,107.0,20.0
2018-07-08,7.0,10.0,279.0,44.0
2018-07-09,9.0,7.0,559.0,23.0
2018-07-10,11.0,16.0,631.0,58.0
2018-07-11,16.0,13.0,381.0,34.0
2018-07-12,8.0,29.0,471.0,48.0
2018-07-13,73.0,12.0,511.0,264.0
2018-07-14,5.0,5.0,209.0,25.0
2018-07-15,6.0,23.0,598.0,24.0
2018-07-16,8.0,72.0,820.0,107.0
2018-07-17,19.0,17.0,420.0,49.0
2018-07-18,19.0,11.0,330.0,53.0
2018-07-19,30.0,87.0,629.0,97.0
2018-07-20,89.0,14.0,314.0,77.0
2018-07-21,17.0,13.0,188.0,23.0
2018-07-22,20.0,27.0,918.0,145.0
2018-07-23,36.0,21.0,761.0,133.0
2018-07-24,30.0,27.0,811.0,102.0
2018-07-25,28.0,5.0,335.0,68.0
2018-07-26,9.0,4.0,276.0,46.0
2018-07-27,11.0,3.0,173.0,71.0
2018-07-28,9.0,10.0,197.0,78.0
2018-07-29,14.0,6.0,195.0,64.0
2018-07-30,20.0,16.0,538.0,87.0
2018-07-31,19.0,23.0,841.0,101.0
2018-08-01,12.0,20.0,376.0,51.0
2018-08-02,4.0,18.0,346.0,52.0
2018-08-03,5.0,6.0,261.0,37.0
2018-08-04,2.0,4.0,110.0,22.0
2018-08-05,12.0,20.0,400.0,63.0
2018-08-06,22.0,28.0,798.0,139.0
2018-08-07,15.0,81.0,894.0,60.0
2018-08-08,9.0,25.0,439.0,50.0
2018-08-09,11.0,31.0,819.0,73.0
2018-08-10,25.0,54.0,1109.0,103.0
2018-08-11,18.0,4.0,181.0,35.0
2018-08-12,18.0,16.0,335.0,36.0
2018-08-13,46.0,30.0,633.0,118.0
2018-08-14,26.0,55.0,707.0,101.0
2018-08-15,48.0,186.0,1432.0,508.0
2018-08-16,21.0,246.0,1117.0,290.0
2018-08-17,6.0,61.0,582.0,97.0
2018-08-18,58.0,25.0,323.0,50.0
2018-08-19,43.0,60.0,1279.0,64.0
2018-08-20,34.0,81.0,1587.0,140.0
2018-08-21,28.0,35.0,892.0,85.0
2018-08-22,18.0,60.0,833.0,111.0
2018-08-23,20.0,67.0,758.0,76.0
2018-08-24,5.0,29.0,476.0,53.0
2018-08-25,8.0,44.0,316.0,48.0
2018-08-26,3.0,46.0,458.0,83.0
2018-08-27,169.0,16.0,471.0,95.0
2018-08-28,167.0,53.0,771.0,77.0
2018-08-29,106.0,41.0,1051.0,84.0
2018-08-30,42.0,49.0,640.0,72.0
2018-08-31,30.0,15.0,295.0,27.0
2018-09-01,84.0,2.0,296.0,47.0
2018-09-02,77.0,7.0,279.0,43.0
2018-09-03,30.0,4.0,204.0,22.0
2018-09-04,20.0,6.0,271.0,29.0
