Date (GMT),Facebook Page,Post ID,Post Permalink,Post Type,Post Message,Tags,Reactions,Comments,Shares,Ow.ly Clicks
2018-07-01 06:00:00,Eyewatch - Warrnambool Police Service Area,492532490957500_816633895214023,https://www.facebook.com/492532490957500/posts/816633895214023/,Photo,"Victoria Police are committed to finding long-term missing persons. The families and friends need your help. If you have any information, please contact Crime Stoppers on 1800 333 000",,14,2,56,
2018-07-01 06:00:01,Eyewatch - Whitehorse Police Service Area,171187666812034_232325497364917,https://www.facebook.com/171187666812034/posts/232325497364917/,Photo,"Victoria Police are committed to finding long-term missing persons. The families and friends need your help. If you have any information, please contact Crime Stoppers on 1800 333 000",,12,2,5,
2018-07-01 06:57:59,Eyewatch - Hume Police Service Area,444597578958459_1733458080072396,https://www.facebook.com/444597578958459/posts/1733458080072396/,Status,Detectives investigated a report of an attempted child stealing in Sunbury on 28 June. The vehicle and male mentioned by police on Friday have no involvement and no offence has been detected There will be no further police involvement.,,59,181,88,
2018-07-01 23:35:24,Eyewatch - Greater Shepparton Police Service Area,349554451900294_814075138781554,https://www.facebook.com/349554451900294/posts/814075138781554/,Photo,GIDDAY TATURA POLICE  A great pic from the Tatura Bulletin to start the Eyewatch Week.  Tatura Sacred Heart Primary students (P/1) dropped into the Tatura Police station during May to say hello to local Police.    Plenty of smiles all round.,,58,5,4,
2018-07-02 00:21:00,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1762698440488380,https://www.facebook.com/1091322447625986/posts/1762698440488380/,Photo,Police are appealing for the public's assistance to help locate 22 year old Jordan Thomas.  Jordan is wanted for an outstanding warrant related to driving offences after failing to attend at the Dandenong Magistrates' Court on the 11th of April 2018.  Jordan is known to frequent the Dandenong North and Cranbourne areas.  Anyone with any information in relation to Jordan's whereabouts is asked to contact Crime Stoppers on 1800 333 000 or www.crimestoppersvic.com.au  vp40485,,4,1,3,
2018-07-02 00:30:39,Eyewatch - Swan Hill Police Service Area,919605548169837_1282486465215075,https://www.facebook.com/919605548169837/posts/1282486465215075/,Video,TAC post re Safety Barriers,,16,4,9,
2018-07-02 01:25:16,Eyewatch - Melton Police Service Area,1248280898517925_1976652865680721,https://www.facebook.com/1248280898517925/posts/1976652865680721/,Photo,"On the evening of the 13th of June a local Melton business was broken into and a large amount of cash, stored in a safe was removed from the premises.  On the 15th of June a 20yr old male from Harkness was arrested which resulted in the location of the safe and cash.  On 20th of June the Police Search & Rescue team attended at a location nominated during the investigation and carried out an underwater search for further evidence.  The male has been bailed to appear at a later date.   If anybody observed any suspicious activity in the vicinity of Allambee Drive, Harkness between the 13th and the 15th of June please contact Crime Stoppers.   Confidentially report what you know to Crime Stoppers on 1800 333 000 or by visiting → www.crimestoppersvic.com.au",,9,2,4,
2018-07-02 01:40:13,Eyewatch - Melton Police Service Area,1248280898517925_1976673059012035,https://www.facebook.com/1248280898517925/posts/1976673059012035/,Photo,"MELTON HIGH VOLUME CRIME TEAM MAKING FURTHER ARRESTS Police Members from the Melton High Volume Crime Team have continued their heavy work load, finishing the month with a further nine arrests.   On the 13th a 22yr old male from Kurunjang was arrested when found in possession of a stolen motor bike.  The bike has been returned to its owner and the male will receive a summons to appear at court at a later date. On the 14th as part of ongoing investigation a search warrant was conducted at a Sydenham address.  A 38yr old Sydenham woman was arrested for handling stolen goods and will appear at court at a later date whilst a 33yr old Sydenham male was remanded in custody. Later that same day, the 14th, a 16yr old male from Melton West was arrested in possession of a stolen motor bike.  The bike was recovered and returned to its owner and the male bailed to appear at court at a later date. Also on the 14th a 29yr old Tarneit man was arrested on drug matters and remanded in custody.  Six days later, on the 20th a 43yr old Werribee female was arrested for theft of a motor vehicle and released pending further enquires.   On the 21st an 18yr old male from Harkness was arrested and remanded into custody for offences including theft of motor vehicle and aggravated burglary.  The following day a 28yr old Meadow Heights male was arrested and interviewed for burglary.  He was released and will receive a summons to appear at court at a later date.   On the 26th a 26yr old Melton man was also arrested and interviewed for burglary and theft of a motor vehicle and will also receive a summons to appear at court at a later date.  Later that same day police from Sunshine arrested a 14yr old boy from Melton West for burglary but was also interviewed for a number of matters in the Melton area.  He was remanded into custody. We continue to encourage the community to report any suspicious behaviour or vehicles by contacting Crime Stoppers on 1800 333 000 or call 000 if urgent Police attendance is needed.",,117,27,22,
2018-07-02 01:42:11,Eyewatch - Warrnambool Police Service Area,492532490957500_819380294939383,https://www.facebook.com/492532490957500/posts/819380294939383/,Photo,"A great result out of Terang this morning with Terang, Mortlake & Camperdown Police executing a search warrant at a Swanston Street address, following an incident at the Terang Golf Club on 21 June, 2018. A 19 year old man was arrested and charged with Affray, cultivating & trafficking Cannabis and weapons offences. He will be presented at the Warrnambool Magistrates' Court later today, with bail to be opposed by police.",,74,10,8,
2018-07-02 02:54:15,Eyewatch - Greater Shepparton Police Service Area,349554451900294_814185635437171,https://www.facebook.com/349554451900294/posts/814185635437171/,Photo,QUICK RESULT.  The happy owner saw our post and is being reunited with her lost watch.  Thanks for sharing :),,33,10,1,
