Date (GMT),Facebook Page,Post ID,Post Permalink,Post Type,Post Message,Tags,Campaign,Reactions,Comments,Shares,Ow.ly Clicks
2018-01-01 01:08:33,Eyewatch - Greater Shepparton Police Service Area,349554451900294_726625170859885,https://www.facebook.com/eyewatchgreatershepparton/posts/726625170859885,Photo,COMMUNITY STRIKES BACK x 2  Update from our post this morning regarding the Shepparton theft on the 6/12/17.  Female identified thank you.  Also our post from the 30/12/17 that related to a theft of alcohol on the 2/12/17.  Female also identified thank you.  Images removed.,,,48,4,8,
2018-01-01 02:33:16,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1552856184805941,https://www.facebook.com/eyewatchgreaterdandenong/posts/1552856184805941,Photo,"No New Years sleep in for Greater Dandenong Highway Patrol this morning, units have been hard at work for Operation Roadwise. With already one life lost on our roads for 2018 please remember to be safe and alert at all times #operationroadwise #roadtozero #newyearsameoperation  vp40485",,,52,16,1,
2018-01-01 02:35:17,Eyewatch - Ballarat Police Service Area,103131960018479_593904934274510,https://www.facebook.com/eyewatchballarat/posts/593904934274510,Link,(Post with no description),,,22,2,0,
2018-01-01 02:38:47,Eyewatch - Greater Shepparton Police Service Area,349554451900294_726659200856482,https://www.facebook.com/eyewatchgreatershepparton/posts/726659200856482,Video,Towards Zero. Please be Careful on Victorian Roads,,,4,0,0,
2018-01-01 04:00:00,Eyewatch - Greater Shepparton Police Service Area,349554451900294_725368847652184,https://www.facebook.com/eyewatchgreatershepparton/videos/725368847652184/,Video,SHEPPARTON BOXING DAY PETROL DRIVE OFF  At 8.48am on Boxing Day this red Ford Focus hatchback with stolen number plates RIK941 entered a Kialla service station and stole fuel.   While the male made efforts to hide his face investigating police hope someone in our community can identify the vehicle and therefore the male owner.  A front seat passenger is seen in the vehicle but does not leave the car.  If you can assist with information please contact First Constable Hillman at Shepparton Police Station on 0358205777 or Crimestoppers via www.crimestoppersvic.com.au,,,14,16,19,
2018-01-01 07:57:43,Eyewatch - Geelong Police Service Area,118579511604215_1347746362020851,https://www.facebook.com/eyewatchgeelong/posts/1347746362020851,Link,Please keep a lookout for Ian.,,,8,0,16,
2018-01-01 08:05:11,Eyewatch - Geelong Police Service Area,118579511604215_1347752315353589,https://www.facebook.com/eyewatchgeelong/posts/1347752315353589,Link,(Post with no description),,,18,3,2,
2018-01-01 21:00:00,Eyewatch - Greater Shepparton Police Service Area,349554451900294_726681114187624,https://www.facebook.com/eyewatchgreatershepparton/posts/726681114187624,Photo,"SCRIPT ON THE RUN  On the 27th of December 2017 at around 4.50pm a Cobram pharmacy had a prescription medication disappear out the door after a ""client"" asked to check the information on the packaging.    Cobram police would like to discuss the circumstances with the male.  He is described as dark skin, tall with a stocky build and wearing a green Sonics singlet, cargo shorts and sandals.   Can you help with information or by sharing?  Information can be provided directly to Cobram Police on 0358 711977 or via Crimes Stoppers www.crimestoppersvic.com.au  Cobram Football Netball Club",,,13,0,30,
2018-01-01 21:23:16,Eyewatch - Whittlesea Police Service Area,283867745385161_389507091487892,https://www.facebook.com/eyewatchwhittlesea/posts/389507091487892,Link,(Post with no description),,,0,0,0,
2018-01-01 21:24:11,Eyewatch - Whittlesea Police Service Area,283867745385161_389507314821203,https://www.facebook.com/eyewatchwhittlesea/posts/389507314821203,Link,(Post with no description),,,3,1,1,
2018-01-01 21:25:42,Eyewatch - Whittlesea Police Service Area,283867745385161_389507551487846,https://www.facebook.com/eyewatchwhittlesea/posts/389507551487846,Link,(Post with no description),,,6,1,0,
2018-01-01 21:35:42,Eyewatch - Whittlesea Police Service Area,283867745385161_389509638154304,https://www.facebook.com/eyewatchwhittlesea/posts/389509638154304,Photo,"North West Metro, Division 5 Highway Patrol members supported by local uniformed staff performed a traffic operation yesterday, post New Year's Eve celebrations in an effort to reduce road trauma across the holiday period.  Local police were tasked to target drink and drug driving, and test as many motorists as possible travelling through the Darebin Police Service area.  As a result of the operation, police identified 11 drivers exceeding 0.05%, 1 drug affected driver, 1 disqualified driver, 2 other traffic offences and impounded 2 vehicles.   Local police are still perplexed that some people still aren't getting the message on road safety #takecareonourroads campaign.   Division 5 members will be continuing their efforts to provide a high visible presence on our roads with a zero tolerance approach to those drink and drug driving.",,,12,6,1,
2018-01-01 23:19:00,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727052344150501,https://www.facebook.com/eyewatchgreatershepparton/posts/727052344150501,Photo,GOOD INFORMATION THANK YOU.  Update on the post with CCTV images of a Boxing Day petrol theft in Kialla (red vehicle);  the persons in the images have been identified - so the post has been removed.  We thank the community for their support.,,,62,6,3,
2018-01-01 23:21:55,Eyewatch - Hobsons Bay Police Service Area,146118342176369_1503055259815997,https://www.facebook.com/eyewatchhobsonsbay/posts/1503055259815997,Photo,"Hi all I'd like to thank the community for an incident free NYE at Williamstown.   For all of us that were present, it was an enjoyable night ringing in 2018.  I'd also like to thank all for their patience as we tried to get the traffic moving after midnight and our police that worked hard to make sure we were all safe.   Just shows how popular our beachside suburb is in our community.... Insp Michelle Young Hobsons Bay Local Area Commander",,,54,2,3,
