Date (GMT),Facebook Page,Post ID,Post Permalink,Post Type,Post Message,Tags,Reactions,Comments,Shares,Ow.ly Clicks
2017-11-18 22:07:55,Eyewatch - Whittlesea Police Service Area,283867745385161_372704889834779,https://www.facebook.com/eyewatchwhittlesea/posts/372704953168106,Photo,(Post with no description),,32,0,0,
2017-11-18 22:11:45,Eyewatch - Whittlesea Police Service Area,283867745385161_372705559834712,https://www.facebook.com/eyewatchwhittlesea/posts/372705559834712,Photo,Open for business! 🚔👮🏻‍♀️👮🏻‍♂️,,47,0,0,
2017-11-19 00:05:19,Eyewatch - Greater Shepparton Police Service Area,349554451900294_708982805957455,https://www.facebook.com/eyewatchgreatershepparton/posts/708982805957455,Photo,Always be alert to any scams. Protect your personal and banking details  - never share with anyone.,,8,0,0,
2017-11-19 01:58:51,Eyewatch - Whittlesea Police Service Area,283867745385161_372750659830202,https://www.facebook.com/eyewatchwhittlesea/posts/372750659830202,Video,(Post with no description),,13,0,0,
2017-11-19 02:00:37,Eyewatch - Whittlesea Police Service Area,283867745385161_372750989830169,https://www.facebook.com/eyewatchwhittlesea/posts/372750989830169,Link,MERNDA STATION IS OPEN! 😁,,42,1,0,
2017-11-19 03:26:52,Eyewatch - Wyndham Police Service Area,134404370080550_766615006859480,https://www.facebook.com/eyewatchwyndham/posts/766615006859480,Photo,"Ongoing commitment to ensure that all road users are safe.  Police were out early this morning conducting roadside breath testing on Princes Hwy Hoppers Crossing when a 28yo Wyndham Vale male was requested undergo a breath test. Police allege that the male, a learner driver with no accompanying driver, returned a positive reading. He was then required to undergo a test at Werribee Police Station and returned an alleged reading of 0.101 Learner drivers must be 0.00 and have a full licensed driver seated beside them. The male had his learner permit suspended and will attend court at a later date.",,44,10,3,
2017-11-19 06:30:01,Eyewatch - Greater Shepparton Police Service Area,349554451900294_709095362612866,https://www.facebook.com/eyewatchgreatershepparton/posts/709095362612866,Photo,"NOT JUST ONE BUS, WAIT THERE'S MORE.....  Seymour was not the place to be on Friday night for anyone who may have been thinking they could get away with driving whilst either drug or alchol affected.  Not only was a booze bus in town, but a drug bus was out and about as well.  Results are in from the booze bus, which saw two drivers having their vehicles impounded after being detected well and truly over the legal limit.  A 42-year-old Mordialloc man blew .113% and a man from Avenel, aged in his late 20's gave a breath test result of .124%.  They have both said goodbye to their cars for a month and will be facing court.    Another driver, a man in his 50's, again from Avenel was given a penalty notice for his breath test reading of .09% and one other was caught for not displaying ""P"" Plates.  We are still awaiting results from the drug bus.",,49,7,4,
2017-11-19 22:12:55,Eyewatch - Greater Shepparton Police Service Area,349554451900294_709363239252745,https://www.facebook.com/eyewatchgreatershepparton/posts/709363239252745,Status,GOOD NEWS.  Missing Person Rebecca Patmore has been located and is now safe.,,51,1,3,
2017-11-19 22:47:28,Eyewatch - Greater Shepparton Police Service Area,349554451900294_709373079251761,https://www.facebook.com/eyewatchgreatershepparton/posts/709373079251761,Photo,Thank you  Following our post on a Shepparton theft back on the 2/10/17.  Investigation now progressing.,,11,0,2,
2017-11-20 00:34:08,Eyewatch - Whittlesea Police Service Area,283867745385161_373125106459424,https://www.facebook.com/eyewatchwhittlesea/posts/373125106459424,Link,"With the opening of the Mernda Police Station and the addition of 45 new police members, Superintendent Tim Hansen has some updates for the community on the  policing response in the wider Whittlesea area.  Read more: http://bit.ly/2AfeExW",,29,2,0,
